"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CoredaNoticiaLM","CoredaNoticiaLM","","","",0,*,"","","","null {[]} {[]}
","Informações Core da Noticia (modelo)","Modelo Lógico - Informações Core da Noticia","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CoredaNoticiaLM.owner","CoredaNoticiaLM.owner","","","",1,1,"","","","Coding {[]} {[]}
","Identifica se a notícia de nascimento é associada ao bebé ou à mãe (“descendant” – Caso o SNS do bébé seja enviado; “self” – No caso de só possuir SNS da mãe)","Identifica se a notícia de nascimento é associada ao bebé ou à mãe (“descendant” – Caso o SNS do bébé seja enviado; “self” – No caso de só possuir SNS da mãe)","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.owner",1,1,"",""
"CoredaNoticiaLM.code","CoredaNoticiaLM.code","","","",1,1,"","","","integer {[]} {[]}
","Identificador único da instituição na PDS","Identificador único da instituição na PDS","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.code",1,1,"",""
"CoredaNoticiaLM.maternity","CoredaNoticiaLM.maternity","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados da maternidade","Dados da maternidade","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.maternity",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CoredaNoticiaLM.maternity.id","CoredaNoticiaLM.maternity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CoredaNoticiaLM.maternity.extension","CoredaNoticiaLM.maternity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CoredaNoticiaLM.maternity.modifierExtension","CoredaNoticiaLM.maternity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CoredaNoticiaLM.maternity.institution","CoredaNoticiaLM.maternity.institution","","","",1,1,"","","","string {[]} {[]}
","Nome da instituição/maternidade","Nome da instituição/maternidade","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.maternity.institution",1,1,"",""
"CoredaNoticiaLM.maternity.service","CoredaNoticiaLM.maternity.service","","","",1,1,"","","","string {[]} {[]}
","Serviço da instituição","Serviço da instituição","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.maternity.service",1,1,"",""
"CoredaNoticiaLM.destination","CoredaNoticiaLM.destination","","","",1,1,"","","","https://hl7.pt/fhir/NoticiaNascimento/StructureDefinition/DestinationLN {[]} {[]}
","Dados da inscrição nos cuidados de saúde primários","Dados da inscrição nos cuidados de saúde primários","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.destination",1,1,"",""
"CoredaNoticiaLM.motherDemographics","CoredaNoticiaLM.motherDemographics","","","",1,1,"","","","https://hl7.pt/fhir/NoticiaNascimento/StructureDefinition/MotherDemographicsLM {[]} {[]}
","Dados demográficos da mãe","Dados demográficos da mãe","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.motherDemographics",1,1,"",""
"CoredaNoticiaLM.pregnancy","CoredaNoticiaLM.pregnancy","","","",1,1,"","","","https://hl7.pt/fhir/NoticiaNascimento/StructureDefinition/PregnancyLM {[]} {[]}
","Dados da gravidez e cumprimento do esquema de vigilância pré-natal","Dados da gravidez e cumprimento do esquema de vigilância pré-natal","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.pregnancy",1,1,"",""
"CoredaNoticiaLM.birth","CoredaNoticiaLM.birth","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados do parto","Dados do parto","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CoredaNoticiaLM.birth.id","CoredaNoticiaLM.birth.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CoredaNoticiaLM.birth.extension","CoredaNoticiaLM.birth.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CoredaNoticiaLM.birth.modifierExtension","CoredaNoticiaLM.birth.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CoredaNoticiaLM.birth.date","CoredaNoticiaLM.birth.date","","","",1,1,"","","","dateTime {[]} {[]}
","Data e hora do nascimento (YYYY-MM-DD HH:MI:SS)","Data e hora do nascimento (YYYY-MM-DD HH:MI:SS)","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth.date",1,1,"",""
"CoredaNoticiaLM.birth.type","CoredaNoticiaLM.birth.type","","","",1,1,"","","","Coding {[]} {[]}
","Tipo de parto (1 - Eutócico Cefálico; 2 - Distócico-Forceps; 3 - Distócico- Ventosa; 4 - Distócico-Cesariana; 5 - Eutócico-Gemelar; 6 – Eutócico-Pélvico; 7 - Distócico Gemelar; 8 – Distócico- Pélvico; 9 - Desconhecido; 10 - Distócico-Espátulas de Thierry)","Tipo de parto (1 - Eutócico Cefálico; 2 - Distócico-Forceps; 3 - Distócico- Ventosa; 4 - Distócico-Cesariana; 5 - Eutócico-Gemelar; 6 – Eutócico-Pélvico; 7 - Distócico Gemelar; 8 – Distócico- Pélvico; 9 - Desconhecido; 10 - Distócico-Espátulas de Thierry)","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth.type",1,1,"",""
"CoredaNoticiaLM.birth.participation","CoredaNoticiaLM.birth.participation","","","",1,1,"","","","Coding {[]} {[]}
","Identifica se é Notícia ou Participação (0 – Notícia de Nascimento; 1 – Participação de Nascimento)","Identifica se é Notícia ou Participação (0 – Notícia de Nascimento; 1 – Participação de Nascimento)","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth.participation",1,1,"",""
"CoredaNoticiaLM.birth.reason","CoredaNoticiaLM.birth.reason","","","",0,1,"","","","string {[]} {[]}
","Motivo em caso de distocia","Motivo em caso de distocia","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth.reason",0,1,"",""
"CoredaNoticiaLM.birth.assist","CoredaNoticiaLM.birth.assist","","","",0,1,"","","","Coding {[]} {[]}
","Assistido por (0- Médico(a) obstetra; 1- Enfermeiro(a) ESMO; 2 - Outro)","Assistido por (0- Médico(a) obstetra; 1- Enfermeiro(a) ESMO; 2 - Outro)","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth.assist",0,1,"",""
"CoredaNoticiaLM.birth.assistDescription","CoredaNoticiaLM.birth.assistDescription","","","",0,1,"","","","string {[]} {[]}
","Descrever o assistido por.","Descrever o assistido por.","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.birth.assistDescription",0,1,"",""
"CoredaNoticiaLM.puerperium","CoredaNoticiaLM.puerperium","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados do puerpério até à alta","Dados do puerpério até à alta","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.puerperium",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CoredaNoticiaLM.puerperium.id","CoredaNoticiaLM.puerperium.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CoredaNoticiaLM.puerperium.extension","CoredaNoticiaLM.puerperium.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CoredaNoticiaLM.puerperium.modifierExtension","CoredaNoticiaLM.puerperium.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CoredaNoticiaLM.puerperium.type","CoredaNoticiaLM.puerperium.type","","","",1,1,"","","","Coding {[]} {[]}
","Tipo de puerpério (0- Normal; 1- Patológico)","Tipo de puerpério (0- Normal; 1- Patológico)","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.puerperium.type",1,1,"",""
"CoredaNoticiaLM.puerperium.observations","CoredaNoticiaLM.puerperium.observations","","","",0,1,"","","","string {[]} {[]}
","Observações","Observações","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.puerperium.observations",0,1,"",""
"CoredaNoticiaLM.newborn","CoredaNoticiaLM.newborn","","","",1,1,"","","","https://hl7.pt/fhir/NoticiaNascimento/StructureDefinition/NewBornLM {[]} {[]}
","Dados do recém-nascido","Dados do recém-nascido","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.newborn",1,1,"",""
"CoredaNoticiaLM.puerperiumReview","CoredaNoticiaLM.puerperiumReview","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados da revisão do puerpério","Dados da revisão do puerpério","","","","","","","","","",,,,,"",,,,"CoredaNoticiaLM.puerperiumReview",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
