"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"NewBornLM","NewBornLM","","","",0,*,"","","","null {[]} {[]}
","Recem-nascido (modelo)","Modelo Lógico - Recem-nascido","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NewBornLM.liveBirth","NewBornLM.liveBirth","","","",1,1,"","","","boolean {[]} {[]}
","Identificação de nado vivo","Identificação de nado vivo","","","","","","","","","",,,,,"",,,,"NewBornLM.liveBirth",1,1,"",""
"NewBornLM.gender","NewBornLM.gender","","","",1,1,"","","","Coding {[]} {[]}
","Sexo do recém- nascido (0 - Masculino; 1 - Feminino; 2 - Indeterminado)","Sexo do recém- nascido (0 - Masculino; 1 - Feminino; 2 - Indeterminado)","","","","","","","","","",,,,,"",,,,"NewBornLM.gender",1,1,"",""
"NewBornLM.length","NewBornLM.length","","","",1,1,"","","","decimal {[]} {[]}
","Comprimento (cm)","Comprimento (cm)","","","","","","","","","",,,,,"",,,,"NewBornLM.length",1,1,"",""
"NewBornLM.deceased","NewBornLM.deceased","","","",0,1,"","","","dateTime {[]} {[]}
","Data de falecimento (YYYY-MM-DD HH:MI:SS)","Data de falecimento (YYYY-MM-DD HH:MI:SS)","","","","","","","","","",,,,,"",,,,"NewBornLM.deceased",0,1,"",""
"NewBornLM.deathBirth","NewBornLM.deathBirth","","","",1,1,"","","","boolean {[]} {[]}
","Identificação de nado morto","Identificação de nado morto","","","","","","","","","",,,,,"",,,,"NewBornLM.deathBirth",1,1,"",""
"NewBornLM.deathBirthDate","NewBornLM.deathBirthDate","","","",0,1,"","","","dateTime {[]} {[]}
","Data da consulta de Alto Risco/Medicina Materno-Fetal (YYYY- MM-DD HH:MI:SS)","Data da consulta de Alto Risco/Medicina Materno-Fetal (YYYY- MM-DD HH:MI:SS)","","","","","","","","","",,,,,"",,,,"NewBornLM.deathBirthDate",0,1,"",""
"NewBornLM.reanimated","NewBornLM.reanimated","","","",1,1,"","","","boolean {[]} {[]}
","Reanimação","Reanimação","","","","","","","","","",,,,,"",,,,"NewBornLM.reanimated",1,1,"",""
"NewBornLM.cephalicPerimeter","NewBornLM.cephalicPerimeter","","","",1,1,"","","","decimal {[]} {[]}
","Perímetro cefálico (cm)","Perímetro cefálico (cm)","","","","","","","","","",,,,,"",,,,"NewBornLM.cephalicPerimeter",1,1,"",""
"NewBornLM.weight","NewBornLM.weight","","","",1,1,"","","","integer {[]} {[]}
","Peso (gr)","Peso (gr)","","","","","","","","","",,,,,"",,,,"NewBornLM.weight",1,1,"",""
"NewBornLM.apgarIndexFirstMinute","NewBornLM.apgarIndexFirstMinute","","","",1,1,"","","","integer {[]} {[]}
","Índice apgar ao 1º minuto","Índice apgar ao 1º minuto","","","","","","","","","",,,,,"",,,,"NewBornLM.apgarIndexFirstMinute",1,1,"",""
