"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PregnancyLM","PregnancyLM","","","",0,*,"","","","null {[]} {[]}
","Gravidez (modelo)","Modelo Lógico - Gravidez","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PregnancyLM.days","PregnancyLM.days","","","",0,1,"","","","integer {[]} {[]}
","Dias de gravidez","Dias de gravidez","","","","","","","","","",,,,,"",,,,"PregnancyLM.days",0,1,"",""
"PregnancyLM.weeks","PregnancyLM.weeks","","","",0,1,"","","","integer {[]} {[]}
","Semanas de gravidez","Semanas de gravidez","","","","","","","","","",,,,,"",,,,"PregnancyLM.weeks",0,1,"",""
"PregnancyLM.risk","PregnancyLM.risk","","","",0,1,"","","","Coding {[]} {[]}
","Risco da gravidez (0- Baixo; 1- Médio; 2- Alto)","Risco da gravidez (0- Baixo; 1- Médio; 2- Alto)","","","","","","","","","",,,,,"",,,,"PregnancyLM.risk",0,1,"",""
"PregnancyLM.riskReason","PregnancyLM.riskReason","","","",0,1,"","","","string {[]} {[]}
","Motivo do risco","Motivo do risco","","","","","","","","","",,,,,"",,,,"PregnancyLM.riskReason",0,1,"",""
"PregnancyLM.immunoglobulinAdministration","PregnancyLM.immunoglobulinAdministration","","","",0,1,"","","","boolean {[]} {[]}
","Administração da Imunoglobulina anti-D","Administração da Imunoglobulina anti-D","","","","","","","","","",,,,,"",,,,"PregnancyLM.immunoglobulinAdministration",0,1,"",""
"PregnancyLM.immunoglobulinAdministrationDate","PregnancyLM.immunoglobulinAdministrationDate","","","",0,1,"","","","dateTime {[]} {[]}
","Data da administração da Imunoglobulina anti-D (YYYY-MM-DD)","Data da administração da Imunoglobulina anti-D (YYYY-MM-DD)","","","","","","","","","",,,,,"",,,,"PregnancyLM.immunoglobulinAdministrationDate",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment","PregnancyLM.prenatalMonitorizationFulfillment","","","",1,1,"","","","BackboneElement {[]} {[]}
","Dados do cumprimento do esquema vigilância pré-natal","Dados do cumprimento do esquema vigilância pré-natal","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PregnancyLM.prenatalMonitorizationFulfillment.id","PregnancyLM.prenatalMonitorizationFulfillment.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"PregnancyLM.prenatalMonitorizationFulfillment.extension","PregnancyLM.prenatalMonitorizationFulfillment.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PregnancyLM.prenatalMonitorizationFulfillment.modifierExtension","PregnancyLM.prenatalMonitorizationFulfillment.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"PregnancyLM.prenatalMonitorizationFulfillment.firstQuarterEco","PregnancyLM.prenatalMonitorizationFulfillment.firstQuarterEco","","","",0,1,"","","","boolean {[]} {[]}
","Ecografia 1º Trimestre","Ecografia 1º Trimestre","","","","","","","","","",,,,,"",,,,"PregnancyLM.prenatalMonitorizationFulfillment.firstQuarterEco",0,1,"",""
